Sym-H and AL  obtained from Kyoto WDC for SWPC Event 1.  Units in nT.
year mo dy hr mn sc msc dst_sm AL
2003 10 29 06 44 00 000    2.00 -2777.00
2003 10 29 06 45 00 000   12.00 -2700.00
2003 10 29 06 46 00 000   -7.00 -2208.00
2003 10 29 06 47 00 000  -18.00 -2212.00
2003 10 29 06 48 00 000   10.00 -2277.00
2003 10 29 06 49 00 000   10.00 -2879.00
2003 10 29 06 50 00 000   13.00 -2868.00
2003 10 29 06 51 00 000    7.00 -2721.00
2003 10 29 06 52 00 000    1.00 -2198.00
2003 10 29 06 53 00 000   -8.00 -2243.00
2003 10 29 06 54 00 000  -12.00 -2370.00
2003 10 29 06 55 00 000  -17.00 -2263.00
2003 10 29 06 56 00 000  -14.00 -2339.00
2003 10 29 06 57 00 000  -25.00 -2273.00
2003 10 29 06 58 00 000  -18.00 -2358.00
2003 10 29 06 59 00 000  -21.00 -2202.00
2003 10 29 07 00 00 000  -20.00 -2337.00
2003 10 29 07 01 00 000  -32.00 -2296.00
2003 10 29 07 02 00 000  -36.00 -2387.00
2003 10 29 07 03 00 000  -39.00 -2257.00
2003 10 29 07 04 00 000  -34.00 -1992.00
2003 10 29 07 05 00 000  -52.00 -1793.00
2003 10 29 07 06 00 000  -60.00 -1612.00
2003 10 29 07 07 00 000  -60.00 -1661.00
2003 10 29 07 08 00 000  -59.00 -1785.00
2003 10 29 07 09 00 000  -39.00 -1964.00
2003 10 29 07 10 00 000  -42.00 -1894.00
2003 10 29 07 11 00 000  -44.00 -1710.00
2003 10 29 07 12 00 000  -60.00 -1837.00
2003 10 29 07 13 00 000  -63.00 -1643.00
2003 10 29 07 14 00 000  -59.00 -1626.00
2003 10 29 07 15 00 000  -58.00 -1623.00
2003 10 29 07 16 00 000  -58.00 -1790.00
2003 10 29 07 17 00 000  -55.00 -1945.00
2003 10 29 07 18 00 000  -57.00 -1894.00
2003 10 29 07 19 00 000  -57.00 -1905.00
2003 10 29 07 20 00 000  -63.00 -1840.00
2003 10 29 07 21 00 000  -66.00 -1789.00
2003 10 29 07 22 00 000  -71.00 -1645.00
2003 10 29 07 23 00 000  -79.00 -1495.00
2003 10 29 07 24 00 000  -82.00 -1353.00
2003 10 29 07 25 00 000  -81.00 -1292.00
2003 10 29 07 26 00 000  -89.00 -1212.00
2003 10 29 07 27 00 000  -92.00 -1223.00
2003 10 29 07 28 00 000  -93.00 -1128.00
2003 10 29 07 29 00 000  -98.00 -1046.00
2003 10 29 07 30 00 000  -90.00 -1055.00
2003 10 29 07 31 00 000  -97.00 -1034.00
2003 10 29 07 32 00 000 -101.00  -983.00
2003 10 29 07 33 00 000 -103.00  -911.00
2003 10 29 07 34 00 000 -104.00  -860.00
2003 10 29 07 35 00 000 -105.00  -812.00
2003 10 29 07 36 00 000 -107.00  -747.00
2003 10 29 07 37 00 000 -112.00  -664.00
2003 10 29 07 38 00 000 -117.00  -708.00
2003 10 29 07 39 00 000 -129.00  -671.00
2003 10 29 07 40 00 000 -135.00  -633.00
2003 10 29 07 41 00 000 -134.00  -739.00
2003 10 29 07 42 00 000 -140.00  -938.00
2003 10 29 07 43 00 000 -142.00 -1051.00
2003 10 29 07 44 00 000 -145.00 -1130.00
2003 10 29 07 45 00 000 -148.00 -1134.00
